Capture Date,Subspecies,Source,Herd,Method,Permanent Id,Ear Tag,Collared?,Serial,Freq1,Weight (kg),Sex,Age,Class,Temp1,Temp2,Temp3,HighTemp,Cnetgun Temp,"Injections (BOSE, IVEMECTIN, Antibiotic)",TISSUE,Blood Red 1,Blood Red 2,Blood Purple,Rump (mm),SWAB,Preg?,Start P,End P,Total P(min),Start H,End H,Total H,AMBIENT,Comments,...36,Movi Sero,Movi PCR,PI3Sero,EHDSero,EHD2Sero,CESero,BTV,PCR_Result,ELISA_Result
11/3/2021,desert,RR,AH,netgun:QS,AH64,P1814,NA,49956,NA,60,F,5+,NA,106,106.2,NA,NA,NA,1,NA,1,NA,1,0.46,1,1,10:45,10:59,14,NA,NA,NA,NA,BCS = 4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/3/2021,desert,RR,AH,netgun:QS,AH65,P1576,NA,49973,NA,57,F,6+,NA,103.5,NA,NA,NA,NA,1,NA,1,NA,1,0.67,1,1,10:45,10:56,14,NA,NA,NA,NA,BCS 4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/3/2021,desert,RR,AH,netgun:QS,AH66,P1572,NA,50024,NA,85,M,3,NA,102.9,103.1,NA,NA,NA,1,NA,1,NA,1,NA,1,NA,11:15,11:34,19,NA,NA,NA,NA,BCS=2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/3/2021,desert,RR,AH,netgun:QS,AH67,P1815,NA,50036,NA,102,M,8,NA,103.5,103.8,NA,NA,NA,1,NA,1,NA,1,0.13,1,NA,11:40,"11""52",12,NA,NA,NA,NA,bcs= 2.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/3/2021,desert,RR,AH,netgun:QS,AH68,P1589,NONE,NA,NA,55,M,1,NA,104.6,104.7,NA,NA,NA,1,NA,1,NA,1,0.06,1,NA,12:05,12:16:00,11,NA,NA,NA,NA,BCS=2.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/3/2021,desert,RR,AH,netgun:QS,AH69,P1577,NA,49938,NA,47,F,1,NA,105.7,105.5,NA,NA,NA,1,NA,1,NA,1,0.48,1,NA,12:46,12:58,12,NA,NA,NA,NA,BCS=4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/3/2021,desert,RR,AH,netgun:QS,AH70,P1587,NONE,NA,NA,54,M,1,NA,105.5,105.3,NA,NA,NA,1,NA,1,NA,1,0.1,1,NA,13:10,13:25,15,NA,NA,NA,NA,BCS=3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/3/2021,desert,RR,AH,netgun:QS,AH71,P1596,NA,49948,NA,60,F,6,NA,103.8,103.5,NA,NA,NA,1,NA,1,NA,1,1,1,NA,12:05,12:15,10,NA,NA,NA,NA,BCS=5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/3/2021,desert,RR,AH,netgun:QS,AH72,P1573,NA,50029,NA,100,M,10,NA,104.5,104.5,NA,NA,NA,1,NA,1,NA,1,NA,1,NA,12:25,21:36,11,NA,NA,NA,NA,BCS=2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/3/2021,desert,RR,AH,netgun:QS,AH73,P1590,NA,50033,NA,97,M,6,NA,103.8,103.8,NA,NA,NA,1,NA,1,NA,1,0.14,1,NA,13:10,13:20,10,NA,NA,NA,NA,BCS=3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/2/2021,desert,RR,AH,netgun:QS,AH28,P1803,NA,50035,NA,59,F,5+,NA,103.9,104.5,NA,NA,NA,NA,NA,NA,NA,NA,0.47,NA,1,NA,NA,NA,NA,NA,NA,NA,bc=4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/2/2021,desert,RR,AH,netgun:QS,AH29,P1552,NA,49998,NA,47,F,1,NA,103.2,104.3,105,105,NA,1,NA,1,NA,1,NA,1,na,810,821,NA,NA,NA,NA,NA,ICE WATER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
