Capture Date,Subspecies,Source,Herd,Method,Permanent Id,Ear Tag,Collared?,Serial ,Freq1,Weight (kg),Sex,Age,Class,Temp1,Temp2 ,Temp3,HighTemp,Cnetgun Temp,"Injections (BOSE, IVEMECTIN, Antibiotic)",TISSUE,Blood Red 1,Blood Red 2,Blood Purple,Rump (mm),SWAB,Preg?,Start P,End P,Total P(min),Start H,End H,Total H,AMBIENT,Comments,,Movi Sero,Movi PCR,PI3Sero,EHDSero,EHD2Sero,CESero,BTV
11/2/2021,desert,RR,AH,netgun:QS,AH41,P1559,,49994,,62,F,3,,103.2,103.4,103.6,103.6,,1,,1,,1,0.44,,1,1134,1146,12,,,,,,,,,,,,,
11/2/2021,desert,RR,AH,netgun:QS,AH42,P1582,,50019,,49,F,2,,106.4,,,106.4,,1,,1,,1,,1,0,1203,1213,10,,,,,ENEMA; BANAMINE,,,,,,,,
11/2/2021,desert,RR,AH,netgun:QS,AH43,P1820,,49958,,60,F,6+,,103.5,103.3,,103.5,,1,,1,,1,0.63,1,1,1135,1145,10,,,,,BCS 4.5,,,,,,,,
11/2/2021,desert,RR,AH,netgun:QS,AH44,P1581,NONE,,,55,M,2,,104.9,105,,105,,1,,1,,1,0.1,1,,1233,1243,10,,,,,BCS=2.75,,,,,,,,
11/2/2021,desert,RR,AH,netgun:QS,AH45,P1583,,49978,,64,F,4,,105.8,106,,106,,1,,1,,1,0.47,1,NOT CHECKED,1200,1210,10,,,,,BCS=4,,,,,,,,
11/2/2021,desert,RR,AH,netgun:QS,AH46,P1585,NONE,,,63,M,2,,,,,,,1,,1,,1,,,,1233,1244,11,,,,,ENEMA; BANAMINE,,,,,,,,
11/2/2021,desert,RR,AH,netgun:QS,AH47,P1821,,49980,,66,M,3,,104.2,103.8,,104.2,,1,,1,,1,0,1,,1235,1245,10,,,,,BCS=2.5,,,,,,,,
11/2/2021,desert,RR,AH,netgun:QS,AH48,P1584,,49999,,60,F,6+,,103.8,103.8,,103.8,,1,,1,,1,0.34,1,1,1300,1310,10,,,,,BCS=4,,,,,,,,
11/2/2021,desert,RR,AH,netgun:QS,AH49,P1823,,50026,,82,M,3,,105,106,106.2,,,1,,1,,1,0.17,1,,1301,1311,10,,,,,,,,,,,,,
11/2/2021,desert,RR,AH,netgun:QS,AH50,P1591,,49967,,92,M,6,,103.8,103.3,,,,1,,1,,1,0.12,1,,1321,1328,7,,,,,BCS=3,,,,,,,,
11/2/2021,desert,RR,AH,netgun:QS,AH51,P1841,NONE,,,57,M,2,,104.2,104.9,,104.9,,1,,1,,1,0.08,1,,1350,1402,12,,,,,BCS=2.75,,,,,,,,
10/31/2021,desert,,FC,netgun:QS,FC114,D54,,,,54,F,4,,,,,,,1,,1,,1,,,,,,,,,,,MORT AT PROCESSING,,,,,,,,
10/31/2021,desert,,FC,netgun:QS,FC115,P1833,,49983,148.9,61,F,6+,,102.1,101.6,101.4,,,1,,1,,1,,,,,,,,,,,,,,,,,,,
10/31/2021,desert,,FC,netgun:QS,FC116,P1599,,50006,149.36,66,F,6+,,102.3,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,
10/31/2021,desert,,FC,netgun:QS,FC117,P1597,,50009,149.42,88,M,6,,103.8,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,
10/31/2021,desert,,FC,netgun:QS,FC118,P1831,,49969,148.62,65,F,4+,,102,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,
10/31/2021,desert,,FC,netgun:QS,FC119,P1824,,50015,149.54,57,F,4+,,103.4,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,
10/31/2021,desert,,FC,netgun:QS,FC120,P1825,,49942,148.08,70,M,2,,103.8,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,
10/31/2021,desert,,FC,netgun:QS,FC121,P1826,,49953,148.3,55,F,4.5,,101.1,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,
10/31/2021,desert,,FC,netgun:QS,FC122,P1827,,49970,148.64,54,F,3,,103.6,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,
10/31/2021,desert,,FC,netgun:QS,FC123,P1829,,49946,148.16,48,F,2,,103.7,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,
10/31/2021,desert,,FC,netgun:QS,FC124,P1561,,49977,148.78,49,F,2.5,,105,104.9,104.9,,,1,,1,,1,,,,,,,,,,,,,,,,,,,
10/31/2021,desert,,FC,netgun:QS,FC125,P1807,,49974,148.72,50,F,3,,105.9,105.5,106.3,,,1,,1,,1,,,,,,,,,,,,,,,,,,,
10/31/2021,desert,,FC,netgun:QS,FC126,P1562,,49945,148.14,62,F,5,,102.5,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,
10/31/2021,desert,,FC,netgun:QS,FC127,P1563,,,,51,M,1,,103.4,103.6,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,
10/31/2021,desert,,FC,netgun:QS,FC128,P1810,,49957,148.38,53,F,2,,103.4,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,
10/31/2021,desert,,FC,netgun:QS,FC129,P1564,,,,55,M,1,,104.1,104,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,
10/31/2021,desert,,FC,netgun:QS,FC130,P1811,,49949,148.22,53,F,6+,,103.5,103.5,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,
10/31/2021,desert,,FC,netgun:QS,FC131,P1592,,49951,148.26,60,F,3,,104.6,104.2,104.4,,,1,,1,,1,,,,,,,,,,,,,,,,,,,
10/31/2021,desert,,FC,netgun:QS,FC132,P1565,,49975,148.74,69,M ,3,,104,103.7,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,
10/31/2021,desert,,FC,netgun:QS,FC133,P1566,,50012,149.48,73,F,6,,104.3,104.3,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,
10/31/2021,desert,,FC,netgun:QS,FC134,P1567,,49959,148.42,86,F,4,,103.6,104.3,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,
10/31/2021,desert,,FC,netgun:QS,FC135,P1089,,49952,148.28,71,M,3,,103.9,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,
10/31/2021,desert,,FC,netgun:QS,FC136,P1806,,50016,149.56,75,M,6+,,102.8,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,
10/31/2021,desert,,FC,netgun:QS,FC137,P1808,,49943,148.1,85,M,7,,105,105.4,105.2,,,1,,1,,1,,,,,,,,,,,,,,,,,,,
10/30/2021,desert,,SA,netgun:QS,SAE205,P1838,,49960,148.440,,F,6,,,,,,,1,,1,,1,,,,,,,,,,,PROCESSED ON MTN (NO WEIGHT OR TEMPS),,,,,,,,
10/30/2021,desert,,SA,netgun:QS,SAE206,P1850,,49964,148.520,,F,4,,,,,,,1,,1,,1,,,,,,,,,,,PROCESSED ON MTN (NO WEIGHT OR TEMPS),,,,,,,,
10/30/2021,desert,,SA,netgun:QS,SAR207,P1839,,49979,148.820,,M,4,,,,,,,1,,1,,1,,,,,,,,,,,PROCESSED ON MTN (NO WEIGHT OR TEMPS),,,,,,,,
10/30/2021,desert,,SA,netgun:QS,SAE208,P1847,,49982,148.880,,F,,,,,,,,1,,1,,1,,,,,,,,,,,PROCESSED ON MTN (NO WEIGHT OR TEMPS),,,,,,,,
10/30/2021,desert,,SA,netgun:QS,SAE209,P1836,,49987,148.980,,F,,,,,,,,1,,1,,1,,,,,,,,,,,PROCESSED ON MTN (NO WEIGHT OR TEMPS),,,,,,,,
10/30/2021,desert,,SA,netgun:QS,SAE210,P1846,,49989,149.020,,F,,,,,,,,1,,1,,1,,,,,,,,,,,PROCESSED ON MTN (NO WEIGHT OR TEMPS),,,,,,,,
10/30/2021,desert,,SA,netgun:QS,SAR211,P1848,,49990,149.040,,M,4,,,,,,,1,,1,,1,,,,,,,,,,,PROCESSED ON MTN (NO WEIGHT OR TEMPS),,,,,,,,
10/30/2021,desert,,SA,netgun:QS,SAE212,P1840,,49991,149.060,,F,,,,,,,,1,,1,,1,,,,,,,,,,,PROCESSED ON MTN (NO WEIGHT OR TEMPS),,,,,,,,
10/30/2021,desert,,SA,netgun:QS,SAE213,P1849,,49992,149.080,,F,5,,,,,,,1,,1,,1,,,,,,,,,,,PROCESSED ON MTN (NO WEIGHT OR TEMPS),,,,,,,,
10/30/2021,desert,,SA,netgun:QS,SAE214,P1594,,49995,149.140,,F,5,,,,,,,1,,1,,1,,,,,,,,,,,PROCESSED ON MTN (NO WEIGHT OR TEMPS),,,,,,,,
10/30/2021,desert,,SA,netgun:QS,SAR215,P1845,,49996,149.160,,M,3,,,,,,,1,,1,,1,,,,,,,,,,,PROCESSED ON MTN (NO WEIGHT OR TEMPS),,,,,,,,
10/30/2021,desert,,SA,netgun:QS,SAR216,P1595,,50002,149.280,,M,2,,,,,,,1,,1,,1,,,,,,,,,,,PROCESSED ON MTN (NO WEIGHT OR TEMPS),,,,,,,,
