Herd,Est,Year,Month,Lambs,Status,Area,Subspec,MonthNum,YearMonth,Timeline,PrePart_Precip,Recovery_Precip,PostPart_Precip,PrePart_Temp,Recovery_Temp,PostPart_Temp,PrevLamb_Precip,PrevLamb_Temp
SFR,105,2004,10,23,Pre,1789.406611911474,Rocky,10,200410,5,135.61001272201537,117.6948221206665,45.27841593623161,8.97582388917605,20.425991916656493,20.42428644498189,53.98025171756744,21.847801065444948
SFR,115,2005,10,32,Pre,1789.406611911474,Rocky,10,200510,5,168.26328468322754,167.41750965118408,58.55724422931671,8.560827112197876,17.545843092600506,21.131978940963744,45.27841593623161,20.42428644498189
SFR,75,2006,10,20,Pre,1789.406611911474,Rocky,10,200610,5,42.64831783771515,165.84942817687988,171.22862675189972,9.940415040651958,19.150291538238527,21.71337455113729,58.55724422931671,21.131978940963744
SFR,75,2007,6,55,Pre,1789.406611911474,Rocky,06,200706,5,81.61449918746948,286.37843227386475,147.59514691829682,9.581270170211791,17.46964694658915,20.864936749140423,171.22862675189972,21.71337455113729
SFR,80,2008,10,29,Pre,1789.406611911474,Rocky,10,200810,5,31.598725570797978,137.38706860542297,156.94428384304047,8.91319706439972,19.262112188339234,20.006246296564736,147.59514691829682,20.864936749140423
SFR,80,2009,10,36,Pre,1789.406611911474,Rocky,10,200910,5,32.32942960262299,161.1730760574341,121.31770248413086,9.5191732724507645,18.513286765416463,20.76584466298421,156.94428384304047,20.006246296564736
SFR,58,2010,10,12,Pre,1789.406611911474,Rocky,10,201010,5,82.87057144641877,121.30522308349609,130.23474768400192,7.9874895493189495,18.274739901224773,20.119311825434366,121.31770248413086,20.76584466298421
SFR,35,2011,12,33,Pre,1789.406611911474,Rocky,12,201112,5,17.418955540657045,110.4174655675888,86.63724451725139,9.418127091725667,19.18517020543416,21.10436201095581,130.23474768400192,20.119311825434366
SFR,25,2012,10,NA,NA,1789.406611911474,Rocky,10,201210,5,22.00573226213455,157.2519744873047,96.53549000322819,9.82098716100057,19.711871576309203,21.95024126370748,86.63724451725139,21.10436201095581
SFR,30,2013,10,100,Pre,1789.406611911474,Rocky,10,201310,5,39.43093466758728,95.94778137207031,175.7421261906624,8.9644047578175865,19.76054105758667,21.48874643643697,96.53549000322819,21.95024126370748
SFR,82,2014,10,55,Pre,1789.406611911474,Rocky,10,201410,5,32.75412277281284,190.63663576841356,96.30547486348078,10.195721737543742,18.30046804745992,21.27455368041992,175.7421261906624,21.48874643643697
SFR,62,2015,10,19,Pre,1789.406611911474,Rocky,10,201510,5,47.75387213230133,222.8782509803772,163.39161643981933,10.762636852264404,19.185604731241863,20.35612700780233,96.30547486348078,21.27455368041992
SFR,72,2016,10,26,Pre,1789.406611911474,Rocky,10,201610,5,29.675808143615722,215.84537410736084,84.60424361228942,10.333480517069498,19.943986177444458,21.159548075993854,163.39161643981933,20.35612700780233
SFR,60,2019,12,NA,NA,1789.406611911474,Rocky,12,201912,5,94.85568299293519,166.35383167266846,80.80610533356666,8.690779864788055,19.094361448287962,19.75794048309326,100.7615574836731,21.942597262064616
SFR,60,2021,10,44,Pre,1789.406611911474,Rocky,10,202110,5,36.33256617188454,45.361794567108156,139.5464538216591,9.439958055814108,20.750961144765217,21.74448731740316,56.79209595322609,22.21036631266276
TC,40,2000,10,33,Pre,2156.821552294002,Rocky,10,200010,5,31.780199229717255,161.76047609707203,120.70212717742834,9.582391993204753,18.140888738632203,21.64498945871989,150.35787304639817,19.41357358296712
TC,35,2001,11,29,Pre,2156.821552294002,Rocky,11,200111,5,55.60953722000122,183.29029811769723,144.3053918361664,8.237899470329285,18.690549198786417,20.90436585744222,120.70212717742834,21.64498945871989
TC,45,2002,10,36,Pre,2156.821552294002,Rocky,10,200210,5,21.52548085935414,124.97987847328186,69.59361594308866,9.127045822143554,18.96430686314901,21.416147994995118,144.3053918361664,20.90436585744222
TC,45,2003,10,23,Pre,2156.821552294002,Rocky,10,200310,5,76.18878884315491,181.38887996673583,61.76908509656205,8.151974980036417,18.40358683268229,21.4825270652771,69.59361594308866,21.416147994995118
TC,45,2004,10,40,Pre,2156.821552294002,Rocky,10,200410,5,141.5473731994629,76.77672303318977,102.73642556667328,8.427003105481466,20.279171880086263,20.435874366760252,61.76908509656205,21.4825270652771
TC,48,2005,10,50,Pre,2156.821552294002,Rocky,10,200510,5,150.36312155723573,175.79965267181396,64.60379476547241,8.265770634015402,17.513088989257813,21.132266489664715,102.73642556667328,20.435874366760252
TC,80,2006,10,23,Pre,2156.821552294002,Rocky,10,200610,5,19.014589393138884,134.0352250099182,185.20456937551498,9.510098012288411,19.096161397298175,21.57136303583781,64.60379476547241,21.132266489664715
TC,70,2007,11,21,Pre,2156.821552294002,Rocky,11,200711,5,74.15971584320069,273.99742164611814,126.30420240163804,9.056522138913472,17.25001022020976,20.560629161198936,185.20456937551498,21.57136303583781
TC,70,2008,10,20,Pre,2156.821552294002,Rocky,10,200810,5,17.749084646999837,138.96888521909713,199.70701220035554,8.340661907196045,19.254506731033324,20.05938647588094,126.30420240163804,20.560629161198936
TC,60,2009,10,50,Pre,2156.821552294002,Rocky,10,200910,5,19.324475011229516,162.03335556983947,111.35940480232239,8.908065541585287,18.073868830998737,21.110835297902426,199.70701220035554,20.05938647588094
TC,40,2010,10,67,Pre,2156.821552294002,Rocky,10,201010,5,86.12743320465088,138.3151512145996,183.32320297956466,7.460817972819011,18.386439243952434,20.024361753463744,111.35940480232239,21.110835297902426
TC,22,2012,10,67,Pre,2156.821552294002,Rocky,10,201210,5,26.720214700698854,144.82945804595948,85.33418132506776,8.874674979845683,19.611657857894897,21.198811022440594,85.2132183746522,20.40707721710205
TC,22,2013,11,17,Pre,2156.821552294002,Rocky,11,201311,5,21.53596647977829,77.64495327472687,175.47345580600668,8.743257315953572,19.2305335521698,21.318031597137452,85.33418132506776,21.198811022440594
TC,32,2018,9,33,Pre,2156.821552294002,Rocky,09,201809,5,82.20118923187256,90.96785002946854,145.0081090927124,10.247342777252197,19.104798952738445,21.714426898956297,135.930231153965,20.69369559288025
DC,34,2007,8,8,Pre,1432.808242857361,Rocky,08,200708,5,58.55523470469883,215.0911214011056,208.3048926762172,5.684858462640217,16.614537148248584,19.62411846433367,198.145204271589,21.761898949032737
DC,52,2008,12,35,Pre,1432.808242857361,Rocky,12,200812,5,24.484260303633555,66.04428043535778,112.73100294385638,5.716997231755938,19.399899437313987,20.751292750948952,208.3048926762172,19.62411846433367
DC,75,2009,12,57,Pre,1432.808242857361,Rocky,12,200912,5,60.80743074417114,181.47058149746485,198.19680527278356,7.644252992811657,17.751595497131348,20.600760142008465,112.73100294385638,20.751292750948952
DC,65,2010,11,66,Pre,1432.808242857361,Rocky,11,201011,5,126.41541739872524,132.72505651201521,201.03592750004358,5.487646064588001,16.43294942946661,20.800959814162482,198.19680527278356,20.600760142008465
DC,90,2011,11,78,Pre,1432.808242857361,Rocky,11,201111,5,20.391905392919266,175.33245607784815,104.03837490081787,6.505906454775305,19.3595545178368,21.81844527380807,201.03592750004358,20.800959814162482
DC,110,2012,11,46,Pre,1432.808242857361,Rocky,11,201211,5,70.10872289112636,91.76709195545742,86.28702940259662,8.550499689011346,19.083507106417702,22.525811513264973,104.03837490081787,21.81844527380807
DC,118,2013,11,39,Pre,1432.808242857361,Rocky,11,201311,5,17.773958938462393,93.20228610719953,149.03287029266357,5.232380265281314,18.16526785350981,21.31548715773083,86.28702940259662,22.525811513264973
DC,118,2014,12,46,Pre,1432.808242857361,Rocky,12,201412,5,26.13435937677111,182.61001004491533,230.94886616298132,6.0491772549492975,18.440247195107595,20.80184997831072,149.03287029266357,21.31548715773083
DC,122,2015,11,57,Pre,1432.808242857361,Rocky,11,201511,5,56.816763401031494,121.65630204336983,297.84931809561596,7.426722952297755,18.823725972856796,20.179794061751593,230.94886616298132,20.80184997831072
DC,155,2016,11,52,Pre,1432.808242857361,Rocky,11,201611,5,71.77256066458565,157.68738419669015,189.77434458051408,8.01494634719122,19.87158979688372,20.77528124763852,297.84931809561596,20.179794061751593
DC,180,2017,11,50,Pre,1432.808242857361,Rocky,11,201711,5,126.02566276277814,157.26049990313393,342.91624804905484,9.266918295905704,19.147869859422954,20.192439851306734,189.77434458051408,20.77528124763852
DC,180,2018,12,50,Pre,1432.808242857361,Rocky,12,201812,5,22.06941567999976,203.85093351772852,165.70913982391357,6.510894636313121,17.44195420401437,22.360078085036506,342.91624804905484,20.192439851306734
DC,160,2019,11,37,Pre,1432.808242857361,Rocky,11,201911,5,66.00424746104649,188.31704371316093,171.3131786073957,5.667604395321437,17.82330692382086,19.487708659399125,165.70913982391357,22.360078085036506
