AnimalID,CaseID,Received_Date,Report_Date,PCR_Result,ELISA_Result,ELISA_Level,Lab_Notes,Notes,VetPak,PermID,Cap_Date,Source,Herd,Wt_kg,Sex,Age,Class,Rump_mm,Preg,Age2,Year
R101,2018-13947,2018-11-07,2018-11-08,0,0,-1.286,NA,NA,NA,PE208,2018-10-30,RRoc,PE,65,F,3.5,NA,NA,NA,A,NA
R103,2018-13947,2018-11-07,2018-11-08,0,0,-2.118,NA,NA,NA,SAC008,2018-10-27,SA,SAC,NA,F,4,NA,NA,NA,A,NA
R104,2018-13947,2018-11-07,2018-11-08,0,0,-0.378,NA,NA,NA,SAC022,2018-10-27,SA,SAC,NA,F,3,NA,NA,NA,A,NA
R105,2018-13947,2018-11-07,2018-11-08,0,0,-3.933,NA,NA,NA,PE207,2018-10-30,RRoc,PE,62,F,6,NA,NA,NA,A,NA
R106,2018-13947,2018-11-07,2018-11-08,0,0,-11.876,NA,NA,NA,SAC031,2018-10-28,SA,SAC,NA,M,1,NA,NA,NA,Y,NA
R107,2018-13947,2018-11-07,2018-11-08,0,0,-8.775,NA,NA,NA,PE189,2018-10-30,RRoc,PE,61,F,2,NA,NA,NA,Y,NA
R108,2018-13947,2018-11-07,2018-11-08,0,0,0.227,NA,NA,NA,PE194,2018-10-30,RRoc,PE,66,F,4,NA,NA,NA,A,NA
R109,2018-13947,2018-11-07,2018-11-08,0,0,-15.053,NA,NA,NA,PE186,2018-10-30,RRoc,PE,55,F,1.5/4,NA,NA,NA,NA,NA
R110,2018-13947,2018-11-07,2018-11-08,0,0,-5.825,NA,NA,NA,PE210,2018-10-30,RRoc,PE,87,M,7,NA,NA,NA,A,NA
R111,2018-13947,2018-11-07,2018-11-08,0,0,-14.75,NA,NA,NA,SAC005,2018-10-27,SA,SAC,NA,F,6,NA,NA,NA,A,NA
R112,2018-13947,2018-11-07,2018-11-08,0,0,10.363,NA,NA,NA,PE205,2018-10-30,RRoc,PE,44,F,1.5,NA,NA,NA,Y,NA
R113,2018-13947,2018-11-07,2018-11-08,0,0,6.278,NA,NA,NA,PE193,2018-10-30,RRoc,PE,68,F,4/6,NA,NA,NA,A,NA
R114,2018-13947,2018-11-07,2018-11-08,0,0,1.135,NA,NA,NA,PE198,2018-10-30,RRoc,PE,72,M,2.5,NA,NA,NA,A,NA
R120,2018-13947,2018-11-07,2018-11-08,0,0,6.884,NA,NA,NA,SAC001,2018-10-27,SA,SAC,NA,F,5,NA,NA,NA,A,NA
