AnimalID,Received_Date,PCR_Result,ELISA_Result,ELISA_Level,Notes,PermID,Cap_Date,Source,Herd,Wt_kg,Sex,Age,Preg,Age2,Year,cat
2018-7,2018-01-12,0,0,NA,"No level for ELISA in Report, RGG Cull",NA,NA,NA,RGG,NA,NA,NA,NA,NA,2018,NA(NA)
2018-79,2018-05-21,0,NA,NA,"No ELISA Results in Report, RGG Ram Capture",NA,NA,NA,RGG,NA,NA,NA,NA,NA,2018,NA(NA)
2018-8,2018-01-12,0,0,NA,"No level for ELISA in Report, RGG Cull",NA,NA,NA,RGG,NA,NA,NA,NA,NA,2018,NA(NA)
2018-80,2018-05-21,0,0,-0.184,"No ELISA Results in Report, RGG Ram Capture",NA,NA,NA,RGG,NA,NA,NA,NA,NA,2018,NA(NA)
2018-81,2018-05-21,0,0,-10.415,"No ELISA Results in Report, RGG Ram Capture",NA,NA,NA,RGG,NA,NA,NA,NA,NA,2018,NA(NA)
2018-9,2018-01-12,0,0,NA,"No level for ELISA in Report, RGG Cull",NA,NA,NA,RGG,NA,NA,NA,NA,NA,2018,NA(NA)
2018-96,2018-08-22,0,NA,NA,No ELISA Results in Report,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,NA(NA)
2019-20,2019-06-20,0,NA,NA,No ELISA Results in Report,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,NA(NA)
2019-40,2019-09-19,0,0,-9.936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,NA(NA)
2019-41,2019-09-19,0,0,1.104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,NA(NA)
2019-44,2019-10-17,0,0,7.975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,NA(NA)
2019-55,2019-11-26,0,1,83.507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,NA(NA)
2019-56,2019-11-26,0,1,87.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,NA(NA)
2019-58,2019-12-06,0,1,89.677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,NA(NA)
2019-59,2019-12-06,0,1,83.676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,NA(NA)
2019-60,2019-12-06,0,1,60.229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,NA(NA)
2019-61,2019-12-06,0,0,17.498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,NA(NA)
2020-107,2020-09-01,0,0,-23.83,Vermejo Ewe,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA(NA)
2020-120,2020-11-03,0,NA,NA,No ELISA Results in Report,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA(NA)
2020-126,2020-12-15,0,1,86.625,"No Animal ID on report, report ID used",NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA(NA)
2020-70,2020-05-29,0,NA,NA,No ELISA Results in Report,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA(NA)
2021-28,2021-06-16,0,NA,NA,No ELISA Results in Report,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,NA(NA)
2022-2,2022-01-19,1,NA,NA,"Full Necropsy Ram, Red River, No ELISA Result",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,NA(NA)
NM18-101,2018-10-18,0,NA,NA,No ELISA Results in Report,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,NA(NA)
